id,org_id,org_name,name,aka,website,social_media,clli,notes,net_count,ix_count,carrier_count,sales_email,sales_phone,region_continent,created,updated,status,address1,address2,city,country,state,zipcode,latitude,longitude
18,31,Nikhef,NIKHEF Amsterdam,,http://www.nikhefhousing.nl,"[{'service': 'website', 'identifier': 'http://www.nikhefhousing.nl'}]",AMSTNL,,451,29,38,,,Europe,2010-07-29T00:00:00Z,2025-09-26T22:42:05Z,ok,Science Park 105,,Amsterdam,NL,NH,1098 XG,52.356394,4.950837
34,7,Telehouse - Global Data Centers,Telehouse - London (Docklands North),,http://www.telehouse.net,"[{'service': 'website', 'identifier': 'http://www.telehouse.net'}]",LONDEN,,492,12,19,webenquiries@uk.telehouse.net,+442075120080,Europe,2010-07-29T00:00:00Z,2025-09-26T22:42:07Z,ok,14 Coriander Avenue,,London,GB,,E14 2AA,,
35,8592,Digital Realty,Digital Realty London LHR17,Interxion London (West Drayton),https://www.digitalrealty.com/data-centers/london/unit-1-airport-gate-bath-road-middlesex,"[{'service': 'website', 'identifier': 'https://www.digitalrealty.com/data-centers/london/unit-1-airport-gate-bath-road-middlesex'}]",,"fka: Equinix LD2

There is a pre-installed Metro Connect solution connecting to both Interxion's Docklands Campus (Sovereign House, Sovereign House North and Cloud House) and Interxion's City campus (LON1, LON2, LON3 and Oliver's Yard) providing redundant 10G and 100G connections between the campuses.",16,0,1,sales@digitalrealty.com,+442079549100,Europe,2010-07-29T00:00:00Z,2025-09-26T22:42:07Z,ok,Unit 1,Airport Gate Bath Road,West Drayton,GB,Middlesex,UB7 0NA,51.482248,-0.460224
39,7,Telehouse - Global Data Centers,Telehouse - London (Docklands East),,http://www.telehouse.net,"[{'service': 'website', 'identifier': 'http://www.telehouse.net'}]",LONDEN,,231,8,8,webenquiries@uk.telehouse.net,+442075120080,Europe,2010-07-29T00:00:00Z,2025-09-26T22:42:07Z,ok,14 Coriander Avenue,,London,GB,,E14 2AA,,
40,8592,Digital Realty,Digital Realty London LHR20,Interxion London (Sovereign House),https://www.interxion.com/,"[{'service': 'website', 'identifier': 'https://www.interxion.com/'}]",LONDEN,"fka: Telecity LON3
fka: Interhouse Redbus

Interxion's data centres in the Docklands Campus (Sovereign House, Sovereign House North and Cloud House) are all interconnected with redundant dark fibre. It is possible to connect between any of the data centres with a standard cross connect.

There is also a pre-installed Metro Connect solution connecting to Interxion's City campus (LON1, LON2, LON3 and Oliver's Yard) providing redundant dark fibre and 10G and 100G connections between the campuses.",94,6,5,sales@digitalrealty.com,+442079549100,Europe,2010-07-29T00:00:00Z,2025-09-26T22:42:07Z,ok,Sovereign House,227 Marsh Wall,London,GB,,E14 9SD,51.499819,-0.010775
43,8592,Digital Realty,Digital Realty London LHR19,Interxion London (Cloud House),https://www.interxion.com/,"[{'service': 'website', 'identifier': 'https://www.interxion.com/'}]",LONDEN,"fka: Telecity LON1
fka: Interhouse Redbus
fka: Bonnington House

Interxion's data centres in the Docklands Campus (Sovereign House, Sovereign House North and Cloud House) are all interconnected with redundant dark fibre. It is possible to connect between any of the data centres with a standard cross connect.

There is also a pre-installed Metro Connect solution connecting to Interxion's City campus (LON1, LON2, LON3 and Oliver's Yard) providing redundant dark fibre and 10G and 100G connections between the campuses.",35,4,5,sales@digitalrealty.com,+442079549100,Europe,2010-07-29T00:00:00Z,2025-09-26T22:42:07Z,ok,Cloud House,Millharbour 47,London,GB,,E14 9TR,51.496902,-0.018933
45,2,"Equinix, Inc.","Equinix LD8 - London, Docklands",,http://www.equinix.com/locations/,"[{'service': 'website', 'identifier': 'http://www.equinix.com/locations/'}]",LONDEN,Formerly Telecity Harbour Exchange (HEX 6/7 & 8/9).,317,10,12,,,Europe,2010-07-29T00:00:00Z,2025-09-26T22:42:07Z,ok,6-9 Harbour Exchange Square,,London,GB,,E14 9GE,51.498842,-0.014327
46,8592,Digital Realty,Digital Realty London LON1-3,"Interxion London (LON1, LON2 & LON3)",https://www.digitalrealty.com/data-centers/london/11-hanbury-st-london-united-kingdom,"[{'service': 'website', 'identifier': 'https://www.digitalrealty.com/data-centers/london/11-hanbury-st-london-united-kingdom'}]",LONDEN,"Interxion's City campus (LON1, LON2, LON3 and Oliver's Yard) is all interconnected with redundant dark fibre. It is possible to connect between any of the data centres with a standard cross connect.

There is also a pre-installed Metro Connect solution between Interxion's Docklands Campus (Sovereign House, Sovereign House North and Cloud House) providing redundant dark fibre and 10G and 100G connections between the campuses.",121,6,5,sales@digitalrealty.com,+442079549100,Europe,2010-07-29T00:00:00Z,2025-09-26T22:42:08Z,ok,11 Hanbury Street,,London,GB,,E1 6QR,51.520397,-0.073777
47,77,Global Switch,Global Switch London East,,http://www.globalswitch.com,"[{'service': 'website', 'identifier': 'http://www.globalswitch.com'}]",,,31,1,1,saleslondon@globalswitch.com,+442074739000,Europe,2010-07-29T00:00:00Z,2025-09-26T22:42:08Z,ok,3 Nutmeg Lane,,London,GB,,E14 2AX,51.510985,-0.003494
48,77,Global Switch,Global Switch London North,,http://www.globalswitch.com,"[{'service': 'website', 'identifier': 'http://www.globalswitch.com'}]",LONDEN,,33,1,2,saleslondon@globalswitch.com,+442074739000,Europe,2010-07-29T00:00:00Z,2025-09-26T22:42:08Z,ok,240 East India Dock Road,,London,GB,,E14 944,51.511364,-0.010634
51,86,Cushman &  Wakefield,Exchange Tower London,,http://www.exchange-tower.co.uk/index.mv,"[{'service': 'website', 'identifier': 'http://www.exchange-tower.co.uk/index.mv'}]",LONDEN,,2,0,2,,,Europe,2010-07-29T00:00:00Z,2025-09-26T22:42:08Z,ok,1&2 Harbour Exchange Square,,London,GB,,E14 9GE,,
52,41935,UltraEdge,UltraEdge Velizy,,https://www.ultraedge.com,"[{'service': 'linkedin', 'identifier': 'ultra-edge'}, {'service': 'website', 'identifier': 'https://www.ultraedge.com'}]",,,0,0,0,,,Europe,2010-07-29T00:00:00Z,2025-11-25T10:08:08Z,ok,6 Rue Nieuport,,Paris,FR,,78140,48.782499,2.208747
53,7,Telehouse - Global Data Centers,Telehouse - Paris 2 (Voltaire - Léon Frot),TH2,http://www.telehouse.fr,"[{'service': 'website', 'identifier': 'http://www.telehouse.fr'}]",PARSFR,"Adress is for deliveries.  
All Telehouse data centres in Paris are on the same Metropolitan campus. It is possible to order standard cross connects between any two data centres within Paris Metro (Telehouse Metro Connect).
Léon Frot is owned and operated by KDDI, partially sold by Telehouse.",343,11,27,marketing@fr.telehouse.net,+33156064157,Europe,2010-07-29T00:00:00Z,2025-09-26T22:42:08Z,ok,137 Boulevard Voltaire,65 Rue Léon Frot,Paris,FR,,75011,48.856654,2.38532
54,7,Telehouse - Global Data Centers,Telehouse - Paris 1 (Jeûneurs),,http://www.telehouse.fr,"[{'service': 'website', 'identifier': 'http://www.telehouse.fr'}]",PARSFR,,20,2,6,,,Europe,2010-07-29T00:00:00Z,2025-09-26T22:42:08Z,ok,"38, rue des Jeûneurs",,Paris,FR,,75002,48.869869,2.344236
55,41935,UltraEdge,UltraEdge Paris - Courbevoie,,https://www.ultraedge.com,"[{'service': 'linkedin', 'identifier': 'ultra-edge'}, {'service': 'website', 'identifier': 'https://www.ultraedge.com'}]",,,41,1,4,,,Europe,2010-07-29T00:00:00Z,2025-11-25T10:09:05Z,ok,124 Boulevard de Verdun,,Paris,FR,,92400,48.903746,2.257694
56,8592,Digital Realty,Digital Realty Paris PAR1,Interxion Paris 1 (Aubervilliers Cedex),https://www.interxion.com/,"[{'service': 'website', 'identifier': 'https://www.interxion.com/'}]",,,33,1,6,,,Europe,2010-07-29T00:00:00Z,2025-09-26T22:42:08Z,ok,45 Avenue Victor Hugo,Aubervilliers,Paris,FR,,93534,48.902082,2.369496
57,41935,UltraEdge,UltraEdge Lyon-Venissieux,,https://www.ultraedge.com,"[{'service': 'website', 'identifier': 'https://www.ultraedge.com'}]",,,81,3,10,,,Europe,2010-07-29T00:00:00Z,2026-02-10T08:30:33Z,ok,8 Rue Georges Marrane,,Vénissieux,FR,Auvergne-Rhône-Alpes,69200,45.722882,4.862905
